Date;Gold XAU/EUR Rate FX Unhdg.;1-5 Year US Govt (ICE) FX Unhdg.;1-5 Year Global Non-Sov (ICE) IR hdg. IRS;World Equity (MSCI) FX Unhdg.;1-3 Year China Govt (ICE) FX Unhdg.;US Inflation-Linked Govt (ICE) FX Hdg.;US MBS (ICE) FX Hdg.;EM global IG Govt (JPM) FX Hdg.
12.06.1989;-0,011890038;;;;;;;
13.06.1989;-0,007396239;;;;;;;
14.06.1989;0,01229473;;;;;;;
15.06.1989;-0,006369968;;;;;;;
16.06.1989;-0,001652563;;;;;;;
19.06.1989;-0,006706812;;;;;;;
20.06.1989;0,006033789;;;;;;;
21.06.1989;-0,006654481;;;;;;;
22.06.1989;0,002990138;;;;;;;
23.06.1989;-0,00745306;;;;;;;
26.06.1989;0,023422383;;;;;;;
27.06.1989;0,000733717;;;;;;;
28.06.1989;-0,001466358;;;;;;;
29.06.1989;0,007088393;;;;;;;
30.06.1989;-0,011665405;;;;;;;
03.07.1989;-0,009731877;;;;;;;
05.07.1989;-0,001602381;;;;;;;
06.07.1989;0,00851198;;;;;;;
07.07.1989;-0,008298048;;;;;;;
10.07.1989;-0,011576926;;;;;;;
11.07.1989;-0,002406285;;;;;;;
12.07.1989;0,002179599;;;;;;;
13.07.1989;-0,010352327;;;;;;;
14.07.1989;-0,002197609;;;;;;;
17.07.1989;-0,000176196;;;;;;;
18.07.1989;-0,004904984;;;;;;;
19.07.1989;0,003807556;;;;;;;
20.07.1989;-0,000529272;;;;;;;
21.07.1989;0,005589715;;;;;;;
24.07.1989;-0,0055879;;;;;;;
25.07.1989;-5,88408E-05;;;;;;;
26.07.1989;-0,014769919;;;;;;;
27.07.1989;0,007226901;;;;;;;
28.07.1989;-0,004150854;;;;;;;
31.07.1989;-0,016136715;;;;;;;
01.08.1989;-0,004781214;;;;;;;
02.08.1989;0,005868402;;;;;;;
03.08.1989;0,007043318;;;;;;;
04.08.1989;0,024164015;;;;;;;
07.08.1989;-0,008206571;;;;;;;
08.08.1989;-0,012411714;;;;;;;
09.08.1989;-0,002752925;;;;;;;
10.08.1989;0,010171933;;;;;;;
11.08.1989;0,006148637;;;;;;;
14.08.1989;0,008295693;;;;;;;
15.08.1989;0,005270247;;;;;;;
16.08.1989;0,00247568;;;;;;;
17.08.1989;0,006798571;;;;;;;
18.08.1989;-0,004040054;;;;;;;
21.08.1989;-0,001245907;;;;;;;
22.08.1989;0,001450537;;;;;;;
23.08.1989;-0,002143685;;;;;;;
24.08.1989;-0,009318934;;;;;;;
25.08.1989;-0,00210989;;;;;;;
28.08.1989;-0,000469856;;;;;;;
29.08.1989;-0,014660516;;;;;;;
30.08.1989;0,026477429;;;;;;;
31.08.1989;-0,010951025;;;;;;;
01.09.1989;0,004611002;;;;;;;
05.09.1989;0,003539771;;;;;;;
06.09.1989;-0,001020289;;;;;;;
07.09.1989;-0,001079693;;;;;;;
08.09.1989;0,008705305;;;;;;;
11.09.1989;-0,006139589;;;;;;;
12.09.1989;0,000786759;;;;;;;
13.09.1989;-0,008065221;;;;;;;
14.09.1989;0,009422332;;;;;;;
15.09.1989;-0,023612202;;;;;;;
18.09.1989;0,006730798;;;;;;;
19.09.1989;0,005206638;;;;;;;
20.09.1989;-0,001530357;;;;;;;
21.09.1989;0,001739028;;;;;;;
22.09.1989;-0,005678809;;;;;;;
25.09.1989;-0,003965318;;;;;;;
26.09.1989;-0,002079682;;;;;;;
27.09.1989;-2,97717E-05;;;;;;;
28.09.1989;-0,007770632;;;;;;;
29.09.1989;-0,001980376;;;;;;;
02.10.1989;0,002735937;;;;;;;
03.10.1989;0,002098825;;;;;;;
04.10.1989;0,001077135;;;;;;;
